plan_id,statement_id,statement,gold_elot,gold_lowered,translation_elot,translation_lowered,elot_correct,elot_equiv
1_1,1,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))",TRUE,TRUE
1_1,2,The player is sure there must be a blue key in box 3.,"certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(must))","certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(certain)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
1_1,3,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ","and(>=(prob_of(player, or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(believes)), >(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))), threshold(believes)), >=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K",TRUE,TRUE
1_1,4,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
1_1,5,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))",TRUE,TRUE
1_2,1,The player is sure there must be a blue key in box 3.,"certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(must))","certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(certain)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
1_2,2,The player knows that boxes 1 and 2 did not have the blue key.,"knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ","and(>=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes)), and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","knows_that(player, formula(not(and(key(K), iscolor(K, blue), inside(K, box1), inside(K, box2)))))","not(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2))))",FALSE,FALSE
1_2,3,The player believes that the blue key is in box number 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))",TRUE,TRUE
1_2,4,The player believes that box 3 is more likely to contain a red key than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))",TRUE,TRUE
1_2,5,The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) ",">=(prob_of(player, empty(box3)), threshold(believes))","believes(player, formula(empty(box3)))","and(>=(prob_of(player, empty(box3)), threshold(believes)), empty(box3))",TRUE,TRUE
