map_id,plan_id,statement,gold_formula,formula
1,1_1,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_1,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2))))) and more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))"
1,1_1,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_2,The player is sure there must be a blue key in box 3.,"believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes box 3 contains a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes that the blue key is in box number 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes that box 3 is their only chance at a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, formula(imply(exists(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes that there should be a key in box 3.,"believes(player, should(exists(key(K), inside(K, box3)))) ","believes(player, should(exists(key(K), inside(K, box3))))"
1,1_2,The player believes box 3 has the key inside.,"believes(player, formula(exists(key(K), inside(K, box3)))) ","believes(player, formula(exists(key(K), inside(K, box3))))"
1,1_2,The player believes that box 3 contains a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes that box 3 doesn't have a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3))))) ","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))"
1,1_2,The player believes a blue key is found in box 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believes that box 1 and 2 are empty.,"believes(player, formula(and(empty(box1), empty(box2)))) ","believes(player, formula(and(empty(box1), empty(box2))))"
1,1_2,The player believes that box 3 must have a blue key.,"believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player knows that boxes 1 and 2 did not have the blue key.,"knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ","knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))))"
1,1_3,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_3,The player believes the blue key could be in box 3.,"believes(player, could(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","believes(player, could(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_3,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
