map_id,plan_id,statement,gold_formula,formula
1,1_1,The player initially believed that box 1 and 2 contained no blue key.,"believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))))","believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))"
1,1_1,The player initially believed that box 3 contained a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_1,The player thought that the blue key was in box 3 but its not.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))"
1,1_1,The player believed they key was not in box 2.,"believes(player, formula(not(exists(key(K), inside(K, box2)))))","believes(player, formula(not(exists(key(K), inside(K, box2)))))"
1,1_1,The player believed the key was in box 3.,"believes(player, formula(exists(key(K), inside(K, box3))))","believes(player, formula(exists(key(K), inside(K, box3))))"
1,1_2,The player believed box 1 would contain a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_2,The player believed box 2 would contain a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_2,The player initially expected to find the blue key in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_2,The player initially had no idea which box contained a blue key.,"not_knows_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))","uncertain_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))"
1,1_2,The player believed there might be a key in any of the boxes.,"believes(player, might(exists(key(K), exists(box(B), inside(K, B)))))","believes(player, might(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3), inside(K, box4))))"
1,1_2,The player believed that any key they would find in a box would likely be blue.,"believes(player, formula(forall(box(B), exists(key(K), inside(K, B)), likely(iscolor(K, blue)))))","believes(player, likely(forall(key(K), inside(K, B), iscolor(K, blue))))"
1,1_2,The player believed box 1 had a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_2,The player believed that box 2 had a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_2,The player initially believed box 1 was more likely to contain a blue key than box 2 and 3.,"believes(player, more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), or(inside(K, box2), inside(K, box3)))))","believes(player, more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), or(inside(K, box2), inside(K, box3)))))"
1,1_2,The player initially believed box 3 was least likely to contain a blue key.,"believes(player, least(likely, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)), box3))","believes(player, least(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box3))))"
1,1_2,The player believed the key could be in any of the boxes.,"believes(player, could(exists(key(K), exists(box(B), inside(K, B)))))","believes(player, could(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3), inside(K, box4))))"
1,1_2,The player believed that one of the boxes had a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), exists(box(B), inside(K, B)))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2), inside(K, box3), inside(K, box4))))"
1,1_2,The player believed that box 1 might have the blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_3,The player initially thought the blue key was in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_3,The player initially believed the blue key was in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
1,1_3,The player initially believed that box 2 contained a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_3,The player initially had no idea which box contained the blue key.,"not_knows_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))","uncertain_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))"
1,1_3,The player initially believed that box 2 or 1 contained the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box2), inside(K, box1)))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box2), inside(K, box1))))."
1,1_3,The player thought that there may have been a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2))))","believes(player, may(exists(key(K), inside(K, box2))))"
1,1_3,The player believed that the first box is empty and held no key.,"believes(player, formula(and(empty(box1), not(exists(key(K), inside(K, box1))))))","believes(player, formula(and(empty(box1), not(exists(key(K), inside(K, box1)))))"
