map_id,plan_id,source_id,statement_id,match,timestep,statement,formula
1,1_1,1_1,1_1_1,TRUE,15,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
1,1_1,1_1,1_1_2,TRUE,15,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_1,1_1,1_1_3,TRUE,15,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
1,1_1,1_2,1_2_1,FALSE,15,The player is sure there must be a blue key in box 3.,"believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_2,FALSE,15,The player believes box 3 contains a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_3,FALSE,15,The player believes that the blue key is in box number 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_4,FALSE,15,The player believes that box 3 is their only chance at a blue key.,"believes(player, formula(and(exists(and(key(K), iscolor(K, blue)), inside(K, box3)), forall(box(B), not(==(B, box3)), not(exists(and(key(K), iscolor(K, blue)), inside(K, B)))))))"
1,1_1,1_2,1_2_5,FALSE,15,The player believes that there should be a key in box 3.,"believes(player, should(exists(key(K), inside(K, box3)))) "
1,1_1,1_2,1_2_6,FALSE,15,The player believes box 3 has the key inside.,"believes(player, formula(exists(key(K), inside(K, box3)))) "
1,1_1,1_2,1_2_7,FALSE,15,The player believes that box 3 contains a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_8,FALSE,15,The player believes that box 3 doesn't have a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3))))) "
1,1_1,1_2,1_2_9,FALSE,15,The player believes a blue key is found in box 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_10,FALSE,15,The player believes that box 1 and 2 are empty.,"believes(player, formula(and(empty(box1), empty(box2)))) "
1,1_1,1_2,1_2_11,FALSE,15,The player believes that box 3 must have a blue key.,"believes(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_2,1_2_12,FALSE,15,The player knows that boxes 1 and 2 did not have the blue key.,"knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) "
1,1_1,1_3,1_3_1,FALSE,15,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
1,1_1,1_3,1_3_2,FALSE,15,The player believes the blue key could be in box 3.,"believes(player, could(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) "
1,1_1,1_3,1_3_3,FALSE,15,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
1,1_1,1_3,1_3_4,FALSE,15,The player currently believes that box 3 does not contain the blue key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))) "
1,1_1,1_3,1_3_5,FALSE,15,The player believes there may be a key in box 1.,"believes(player, may(exists(key(K), inside(K, box1)))) "
1,1_1,1_3,1_3_6,FALSE,15,The player believes there may be a key in box 3.,"believes(player, may(exists(key(K), inside(K, box3)))) "
1,1_1,1_3,1_3_7,FALSE,15,The player believes that the key is in box number one.,"believes(player, formula(exists(key(K), inside(K, box1)))) "
1,1_1,1_3,1_3_8,FALSE,15,The player believes that the third box is empty.,"believes(player, formula(empty(box3))) "
1,1_1,1_3,1_3_9,FALSE,15,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
1,1_1,1_3,1_3_10,FALSE,15,The player believes that box 1 contains the key.,"believes(player, formula(exists(key(K), inside(K, box1)))) "
1,1_1,1_3,1_3_11,FALSE,15,The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) "
1,1_1,1_3,1_3_12,FALSE,15,The player believes that box 1 might have a blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) "
